index,pptx_file,Page_Num,difficulty,url
26,Universal and Reproducible Compute.pptx,11,Simple,https://zenodo.org/api/records/11148782/files/Universal and Reproducible Compute.pptx/content
27,Janneke Adema_June 2023_Presentation_CSNI 2023.pptx,31,Simple,https://zenodo.org/api/records/10226039/files/Janneke Adema_June 2023_Presentation_CSNI 2023.pptx/content
28,The-CodeSparks-framework_fgi_questions_group-1.pptx,30,Simple,https://zenodo.org/api/records/7953509/files/The-CodeSparks-framework_fgi_questions_group-1.pptx/content
29,Vilhuber-Presentation-nia-2021-05-10.pptx,11,Simple,https://zenodo.org/api/records/4791013/files/Vilhuber-Presentation-nia-2021-05-10.pptx/content
30,UniSS_2023_Open_Science.pptx,44,Simple,https://zenodo.org/api/records/10227796/files/UniSS_2023_Open_Science.pptx/content
31,DeCross_ABCT_2020_Final_1.1.pptx,21,Simple,https://zenodo.org/api/records/4244903/files/DeCross_ABCT_2020_Final_1.1.pptx/content
32,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,762,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
33,Cours-Infosci-UBM-2024-15mars.pptx,3,Simple,https://zenodo.org/api/records/10846821/files/Cours-Infosci-UBM-2024-15mars.pptx/content
34,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1084,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
35,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1126,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
36,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1140,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
37,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,675,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
38,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1092,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
39,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1064,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
40,2023_24_WS_Introduction to Research Data Management.pptx,53,Simple,https://zenodo.org/api/records/10210151/files/2023_24_WS_Introduction to Research Data Management.pptx/content
41,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,775,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
42,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,767,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
43,AR-0105_Riska Rohmawati_Presentation - RISKA ROHMAWATI.pptx,12,Simple,https://zenodo.org/api/records/4051278/files/AR-0105_Riska Rohmawati_Presentation - RISKA ROHMAWATI.pptx/content
44,kevin.pptx,4,Simple,https://zenodo.org/api/records/7488544/files/kevin.pptx/content
45,Cours-PGD-sept22.pptx,1,Simple,https://zenodo.org/api/records/7382546/files/Cours-PGD-sept22.pptx/content
46,FORCE2019-preprints-panel.pptx,2,Simple,https://zenodo.org/api/records/3515895/files/FORCE2019-preprints-panel.pptx/content
47,Cours-Infosci-UBM-2024-15mars.pptx,52,Simple,https://zenodo.org/api/records/10846821/files/Cours-Infosci-UBM-2024-15mars.pptx/content
48,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,661,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
49,2021-12-09_MDC_Phd_Training_Publishedvs.pptx,34,Simple,https://zenodo.org/api/records/5772382/files/2021-12-09_MDC_Phd_Training_Publishedvs.pptx/content
50,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1105,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
51,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1095,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
52,PPT SEMINAR LPPM - kunti sunaryo.pptx,14,Simple,https://zenodo.org/api/records/7258426/files/PPT SEMINAR LPPM - kunti sunaryo.pptx/content
53,BWilliams_AGU2022_14Dec.pptx,3,Simple,https://zenodo.org/api/records/7465428/files/BWilliams_AGU2022_14Dec.pptx/content
54,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,751,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
55,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1147,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
56,altDlFslides.pptx,10,Simple,https://zenodo.org/api/records/4965404/files/altDlFslides.pptx/content
57,DDITL_02_1_0_What_Is_DDI_FR.pptx,2,Simple,https://zenodo.org/api/records/8344330/files/DDITL_02_1_0_What_Is_DDI_FR.pptx/content
58,Cours-Infosci-UBM-2024-15mars.pptx,36,Simple,https://zenodo.org/api/records/10846821/files/Cours-Infosci-UBM-2024-15mars.pptx/content
59,Cours-PGD-sept22.pptx,133,Simple,https://zenodo.org/api/records/7382546/files/Cours-PGD-sept22.pptx/content
60,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,573,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
61,CDIF-Functional breakdown and high-level recommendations-PUBLIC.pptx,1,Simple,https://zenodo.org/api/records/8099435/files/CDIF-Functional breakdown and high-level recommendations-PUBLIC.pptx/content
62,On Plagiarism_Course Work Presentation.pptx,17,Simple,https://zenodo.org/api/records/6655237/files/On Plagiarism_Course Work Presentation.pptx/content
63,On Plagiarism_Course Work Presentation.pptx,47,Simple,https://zenodo.org/api/records/6655237/files/On Plagiarism_Course Work Presentation.pptx/content
64,On the use of robotic actors in therapeutic theater.pptx,13,Simple,https://zenodo.org/api/records/1406884/files/On the use of robotic actors in therapeutic theater.pptx/content
65,NeuroscienceOfVolitionForDecisionsThatMatter_eLifeResearchTalks_Apr2020.pptx,12,Simple,https://zenodo.org/api/records/3750341/files/NeuroscienceOfVolitionForDecisionsThatMatter_eLifeResearchTalks_Apr2020.pptx/content
66,Whitaker_CumberlandLodge_January2020.pptx,10,Simple,https://zenodo.org/api/records/3601497/files/Whitaker_CumberlandLodge_January2020.pptx/content
67,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1687,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
68,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1519,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
69,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1497,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
70,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1323,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
71,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,931,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
72,clase2023-04-05-a.pptx,9,Simple,https://zenodo.org/api/records/7872549/files/clase2023-04-05-a.pptx/content
73,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1173,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
74,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1175,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
75,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1325,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
76,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,677,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
77,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1021,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
78,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,947,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
79,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,623,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
80,Open-Science-from-vision-to-action.pptx,13,Simple,https://zenodo.org/api/records/3601199/files/Open-Science-from-vision-to-action.pptx/content
81,Ibai_Inziarte_Robotic-Arm-Based Force Control in Neurosurgical PracticeV2.pptx,15,Simple,https://zenodo.org/api/records/10037767/files/Ibai_Inziarte_Robotic-Arm-Based Force Control in Neurosurgical PracticeV2.pptx/content
82,Buiatti_Frequency_tagging_EEG_development.pptx,26,Simple,https://zenodo.org/api/records/10076016/files/Buiatti_Frequency_tagging_EEG_development.pptx/content
83,Introducing neutrino Astronomy.pptx,27,Simple,https://zenodo.org/api/records/7763200/files/Introducing neutrino Astronomy.pptx/content
84,Stewart_GYA May 2023.pptx,13,Simple,https://zenodo.org/api/records/8169412/files/Stewart_GYA May 2023.pptx/content
85,2013-07-09-slides-ISKOUK-Conference-MSomerville.pptx,15,Simple,https://zenodo.org/api/records/8425512/files/2013-07-09-slides-ISKOUK-Conference-MSomerville.pptx/content
86,CASE PRESENTATION1.pptx,49,Simple,https://zenodo.org/api/records/3911306/files/CASE PRESENTATION(1).pptx/content
87,An Open Science Taster.pptx,1,Simple,https://zenodo.org/api/records/7149510/files/An Open Science Taster.pptx/content
88,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,2,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
89,clase2023-04-05-c.pptx,4,Simple,https://zenodo.org/api/records/7872549/files/clase2023-04-05-c.pptx/content
90,D5 2019 GESIS Harmonization Course PPT.pptx,89,Simple,https://zenodo.org/api/records/3924955/files/D5 2019 GESIS Harmonization Course PPT.pptx/content
91,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,651,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
92,ICU SLIDE 18TH AUG 2020 UMK AR 074 _ - Prof. Dr. Suria Binti Baba.pptx,24,Simple,https://zenodo.org/api/records/4051261/files/ICU SLIDE 18TH AUG 2020 UMK AR 074 _ - Prof. Dr. Suria Binti Baba.pptx/content
93,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1026,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
94,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1426,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
95,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1698,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
96,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1016,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
97,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,892,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
98,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1214,Simple,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
99,Dental Innovation - ultrahangos fogtisztítás 2.pptx,4,Simple,https://zenodo.org/api/records/7885554/files/Dental Innovation - ultrahangos fogtisztítás 2.pptx/content
100,Lineas_investigación.pptx,3,Simple,https://zenodo.org/api/records/3336320/files/Lineas_investigación.pptx/content
101,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,1250,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
102,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,994,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
103,2 Industry Sector Modelling.pptx,30,Median,https://zenodo.org/api/records/13767389/files/2 Industry Sector Modelling.pptx/content
104,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,336,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
105,Digitizing for Impact - from pixels to scholarship.pptx,23,Median,https://zenodo.org/api/records/3257726/files/Digitizing for Impact - from pixels to scholarship.pptx/content
106,ConcertHall_20240917_1600_De-Ceulaerde_Geerd_V1.pptx,15,Median,https://zenodo.org/api/records/13767858/files/ConcertHall_20240917_1600_De-Ceulaerde_Geerd_V1.pptx/content
107,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,173,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
108,AEROdays2019_Innovative manufacturing and MRO_Digitalization of maint operations.pptx,5,Median,https://zenodo.org/api/records/4010169/files/AEROdays2019_Innovative manufacturing and MRO_Digitalization of maint operations.pptx/content
109,El valor social de las bibliotecas LQ.pptx,10,Median,https://zenodo.org/api/records/3563223/files/El valor social de las bibliotecas LQ.pptx/content
110,Janneke Adema_June 2023_Presentation_CSNI 2023.pptx,28,Median,https://zenodo.org/api/records/10226039/files/Janneke Adema_June 2023_Presentation_CSNI 2023.pptx/content
111,Niznikova2017.pptx,5,Median,https://zenodo.org/api/records/4263725/files/Niznikova2017.pptx/content
112,CloudLab Testbed Facility Security Summit.pptx,11,Median,https://zenodo.org/api/records/5579289/files/CloudLab Testbed Facility Security Summit.pptx/content
113,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,329,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
114,Zdania warunkowe.pptx,21,Median,https://zenodo.org/api/records/7567998/files/Zdania warunkowe.pptx/content
115,20220308_ADEMEC_MP.pptx,10,Median,https://zenodo.org/api/records/6375530/files/20220308_ADEMEC_MP.pptx/content
116,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,179,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
117,EDDI23_EOSC_workflow_CDI.pptx,31,Median,https://zenodo.org/api/records/10256938/files/EDDI23_EOSC_workflow_CDI.pptx/content
118,CLIL syllabus development session.pptx,1,Median,https://zenodo.org/api/records/10421641/files/CLIL syllabus development session.pptx/content
119,Vilhuber-Presentation-2020-10-09.pptx,39,Median,https://zenodo.org/api/records/4073995/files/Vilhuber-Presentation-2020-10-09.pptx/content
120,Data_Management_DMW.pptx,18,Median,https://zenodo.org/api/records/8025067/files/Data_Management_DMW.pptx/content
121,CT Zoom class_health_arguments.pptx,8,Median,https://zenodo.org/api/records/5679753/files/CT Zoom class_health_arguments.pptx/content
122,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,352,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
123,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,125,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
124,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,398,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
125,2021-12-09_MDC_Phd_Training_Publishedvs.pptx,21,Median,https://zenodo.org/api/records/5772382/files/2021-12-09_MDC_Phd_Training_Publishedvs.pptx/content
126,Vilhuber-Presentation-2020-10-09.pptx,37,Median,https://zenodo.org/api/records/4073995/files/Vilhuber-Presentation-2020-10-09.pptx/content
127,2022-UFR_RCR_RCOI.pptx,22,Median,https://zenodo.org/api/records/7548565/files/2022-UFR_RCR_RCOI.pptx/content
128,Re-using and repurposing secondary data Patrick Dunleavy and Tim Monteath.pptx,8,Median,https://zenodo.org/api/records/7631094/files/Re-using and repurposing secondary data (Patrick Dunleavy and Tim Monteath).pptx/content
129,sesion02de04-editores-creacion2.pptx,43,Median,https://zenodo.org/api/records/7740849/files/sesion02de04-editores-creacion2.pptx/content
130,Open data FAIR data and RDM_Davidson_08092022.pptx,1,Median,"https://zenodo.org/api/records/7276050/files/Open data, FAIR data and RDM_Davidson_08092022.pptx/content"
131,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,422,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
132,XX-AutomaticTesting-Ning_PQE.pptx,34,Median,https://zenodo.org/api/records/5147145/files/XX-AutomaticTesting-Ning_PQE.pptx/content
133,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,785,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
134,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,706,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
135,REINFORCE_24032022-EC_mm.pptx,3,Median,https://zenodo.org/api/records/7759961/files/REINFORCE_24032022-EC_mm.pptx/content
136,2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx,458,Median,https://zenodo.org/api/records/10292911/files/2021 July 4 IRSIRI Atlas of Risk Maps with Compressed Pictures.pptx/content
137,20180710-FIP-CHEP-AV-final-v2.pptx,3,Median,https://zenodo.org/api/records/1308579/files/20180710-FIP-CHEP-AV-final-v2.pptx/content
138,FCTD2021.pptx,7,Median,https://zenodo.org/api/records/5588625/files/FCTD2021.pptx/content
139,CHEP2019_52.pptx,18,Median,https://zenodo.org/api/records/3598779/files/CHEP2019_52.pptx/content
140,2.4c_Neunaber_Characterization of a new perturbation system for gust generation The Chopper.pptx,7,Median,https://zenodo.org/api/records/3405976/files/2.4c_Neunaber_Characterization of a new perturbation system for gust generation The Chopper.pptx/content
141,EMANUELA ROSSI 5_CRF DEVELOPMENT_HANDS ON RRI_20230117.pptx,14,Median,https://zenodo.org/api/records/7646077/files/EMANUELA ROSSI 5_CRF DEVELOPMENT_HANDS ON RRI_20230117.pptx/content
142,DOAJ Inclusion Criteria.pptx,19,Median,https://zenodo.org/api/records/7848208/files/DOAJ Inclusion Criteria.pptx/content
143,LIEAF17_Goetz.pptx,15,Median,https://zenodo.org/api/records/7311683/files/LIEAF17_Goetz.pptx/content
144,RDA workshop OSF - ITALY - def.pptx,1,Median,https://zenodo.org/api/records/3479502/files/RDA workshop OSF - ITALY - def.pptx/content
145,2023_24_WS_Introduction to Research Data Management.pptx,45,Median,https://zenodo.org/api/records/10210151/files/2023_24_WS_Introduction to Research Data Management.pptx/content
146,Experiments CybSPEEED.pptx,10,Median,https://zenodo.org/api/records/1405505/files/Experiments CybSPEEED.pptx/content
147,2019-03 metrics-SUB.pptx,13,Median,https://zenodo.org/api/records/2660846/files/2019-03 metrics-SUB.pptx/content
148,EOSC-SJones_WBUkraine_training.pptx,1,Median,https://zenodo.org/api/records/10358041/files/EOSC-SJones_WB+Ukraine_training.pptx/content
149,indriolo.pptx,19,Median,https://zenodo.org/api/records/1300180/files/indriolo.pptx/content
150,3062024_MarijkeBeersmans_DHBenelux powerpointFINAL.pptx,19,Median,https://zenodo.org/api/records/11457275/files/3062024_MarijkeBeersmans_DHBenelux powerpointFINAL.pptx/content
151,altDlFslides.pptx,9,Median,https://zenodo.org/api/records/4965404/files/altDlFslides.pptx/content
152,Wind Energy as a Use Case for General Energy System Integration - A1.pptx,1,Median,https://zenodo.org/api/records/4562392/files/Wind Energy as a Use Case for General Energy System Integration - (A1).pptx/content
153,sk5003_w08_growth_model_20230513_v6.pptx,7,Median,https://zenodo.org/api/records/7931524/files/sk5003_w08_growth_model_20230513_v6.pptx/content
154,OS_4_PhD_2019.pptx,12,Median,https://zenodo.org/api/records/3606029/files/OS_4_PhD_2019.pptx/content
155,Surveyed_or_registered_TARKI_CESSDA_webinar_2022.pptx,35,Median,https://zenodo.org/api/records/7989013/files/Surveyed_or_registered_TARKI_CESSDA_webinar_2022.pptx/content
156,Understanding Benchmarking and Tracking Equity and Inclusion in Open Access and Open Science.pptx,9,Median,"https://zenodo.org/api/records/13840345/files/Understanding, Benchmarking, and Tracking Equity and Inclusion in Open Access and Open Science.pptx/content"
157,1.3 SNS - OS e RDM.pptx,7,Median,https://zenodo.org/api/records/6324828/files/1.3 SNS - OS e RDM.pptx/content
158,tu sampling.pptx,27,Median,https://zenodo.org/api/records/10717677/files/tu sampling.pptx/content
159,LetterHead Project.pptx,12,Median,https://zenodo.org/api/records/8310374/files/LetterHead Project.pptx/content
160,LIAISON how to guides training. All modules.pptx,24,Median,https://zenodo.org/api/records/6475540/files/LIAISON how to guides training. All modules.pptx/content
161,FORCE2019_pontika_v3.pptx,20,Median,https://zenodo.org/api/records/3501625/files/FORCE2019_pontika_v3.pptx/content
162,YASMINA - Yasmina Amalia.pptx,24,Median,https://zenodo.org/api/records/7258526/files/YASMINA - Yasmina Amalia.pptx/content
163,Webinar DOAJ- SciELO ArgMex.pptx,2,Median,https://zenodo.org/api/records/13743602/files/Webinar DOAJ- SciELO ArgMex.pptx/content
164,donnees_5-points_20211018.pptx,78,Median,https://zenodo.org/api/records/5607611/files/donnees_5-points_20211018.pptx/content
165,Fathallah_Exeter University_November 2023_slides.pptx,6,Median,https://zenodo.org/api/records/10189397/files/Fathallah_Exeter University_November 2023_slides.pptx/content
166,PowerPoint slide for_Citizen Science at Your Library_ECS  SciStarter.pptx,6,Median,https://zenodo.org/api/records/12734241/files/PowerPoint slide for_Citizen Science at Your Library_ECS & SciStarter.pptx/content
167,Whitaker_CumberlandLodge_January2020.pptx,3,Median,https://zenodo.org/api/records/3601497/files/Whitaker_CumberlandLodge_January2020.pptx/content
168,2018Apr05 NADDI.pptx,51,Median,https://zenodo.org/api/records/1213320/files/2018Apr05 NADDI.pptx/content
169,Iverson_S6.pptx,40,Median,https://zenodo.org/api/records/3228369/files/Iverson_S6.pptx/content
